Document Title	Topic 0 Weight	Topic 1 Weight	Topic 2 Weight	Topic 3 Weight	Topic 4 Weight	Topic 5 Weight	Topic 6 Weight
1976	7.322749	1.66986	9.77279	18.62168	48.638105	7.617027	6.357788
1980	8.423261	4.691247	13.938849	25.554556	27.098322	13.669065	6.6247
1984	10.16968	5.269033	11.085064	24.525563	17.16901	22.516187	9.265461
1988	9.088465	5.180604	17.110334	20.139822	12.100027	28.618804	7.761943
1992	14.79184	8.48145	16.26506	11.630681	8.081832	25.247526	15.501611
1996	13.953139	4.42325	17.693001	13.697807	8.072995	26.88495	15.274857
2000	10.349536	2.88367	15.139268	14.576735	3.637357	37.689787	15.723649
2004	7.930695	3.771316	8.925448	24.852426	2.361172	21.370791	30.78815
2008	9.685484	6.241936	36.05242	7.83871	1.504032	8.620968	30.056453
2012	8.236578	8.440012	11.784261	12.325097	3.245014	14.860573	41.108465
2016	32.522604	16.779214	6.501087	11.382625	0.629507	10.14078	22.04418
2020	22.584325	49.96741	2.794525	6.52599	1.213948	6.876324	10.037477